run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,units
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,1,6.87925,1778073290.38811,0.0,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,2,6.895917,1778073290.404777,0.016667,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,3,6.912583,1778073290.421443,0.033333,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,4,6.92925,1778073290.43811,0.05,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,5,6.945917,1778073290.454777,0.066667,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,6,6.962583,1778073290.471443,0.083333,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,7,6.97925,1778073290.48811,0.1,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,8,6.995917,1778073290.504777,0.116667,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,9,7.012583,1778073290.521444,0.133333,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,10,7.02925,1778073290.53811,0.15,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,11,7.045917,1778073290.554777,0.166667,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,12,7.062583,1778073290.571444,0.183333,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,13,7.07925,1778073290.58811,0.2,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,14,7.095917,1778073290.604777,0.216667,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,15,7.112583,1778073290.621444,0.233333,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,16,7.12925,1778073290.63811,0.25,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,17,7.145917,1778073290.654777,0.266667,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,18,7.162583,1778073290.671443,0.283333,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,19,7.17925,1778073290.68811,0.3,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,20,7.195917,1778073290.704777,0.316667,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,21,7.212583,1778073290.721443,0.333333,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,22,7.22925,1778073290.73811,0.35,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,23,7.245917,1778073290.754777,0.366667,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,24,7.262583,1778073290.771444,0.383333,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,25,7.27925,1778073290.78811,0.4,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,26,7.295917,1778073290.804777,0.416667,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,27,7.312583,1778073290.821444,0.433333,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,28,7.32925,1778073290.83811,0.45,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,29,7.345917,1778073290.854777,0.466667,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,30,7.362583,1778073290.871444,0.483333,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,31,7.37925,1778073290.88811,0.5,-122.0,-258.0,pix
real_001_s001_2026-05-06_15-14-43-508,001,001,1,P001,P001.ppm,32,7.395917,1778073290.904777,0.516667,-122.0,-258.0,pix
