run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,units
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,1,24.127218,1777640692.098806,0.0,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,2,24.143885,1777640692.115473,0.016667,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,3,24.160552,1777640692.132139,0.033333,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,4,24.177218,1777640692.148806,0.05,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,5,24.193885,1777640692.165473,0.066667,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,6,24.210552,1777640692.182139,0.083333,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,7,24.227218,1777640692.198806,0.1,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,8,24.243885,1777640692.215472,0.116667,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,9,24.260552,1777640692.232139,0.133333,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,10,24.277218,1777640692.248806,0.15,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,11,24.293885,1777640692.265473,0.166667,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,12,24.310552,1777640692.282139,0.183333,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,13,24.327218,1777640692.298806,0.2,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,14,24.343885,1777640692.315473,0.216667,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,15,24.360552,1777640692.332139,0.233333,62.0,50.0,pix
real_001_s001_2026-05-01_15-04-27-970,001,001,1,P002,P002.ppm,16,24.377218,1777640692.348806,0.25,62.0,50.0,pix
