run_id,phase,participant,session,trial_index,trial_id,stimulus_id,description_condition,metadata_condition,description,image_file,original_filename,original_style_folder,original_relative_path,trial_start_session_s,trial_start_unix_s,description_onset_session_s,description_offset_session_s,description_onset_unix_s,description_offset_unix_s,description_time_s,image_onset_session_s,image_offset_session_s,image_onset_unix_s,image_offset_unix_s,image_view_time_s,rating_onset_session_s,rating_offset_session_s,rating_onset_unix_s,rating_offset_unix_s,rating,rating_rt_s,mismatch_check_triggered,mismatch_response,mismatch_rt_s,mismatch_onset_session_s,mismatch_offset_session_s,mismatch_onset_unix_s,mismatch_offset_unix_s
real_001_s001_2026-05-01_15-04-27-970,practice,001,001,1,P002,P002,,,Practice prompt 2: A tense composition with strong directional contrast.,P002.ppm,,,,17.293836,1777640685.26542,17.309599,24.127116,1777640685.281183,1777640692.098704,6.8175,24.127218,34.876972,1777640692.098806,1777640702.84857,10.7498,34.887127,36.926835,1777640702.858727,1777640704.898437,1.3748,2.0397,0,,,,,,
real_001_s001_2026-05-01_15-04-27-970,practice,001,001,2,P001,P001,,,Practice prompt 1: A quiet geometric composition with a calm mood.,P001.ppm,,,,36.929274,1777640704.900878,36.935391,39.84351,1777640704.906996,1777640707.815114,2.9081,39.843609,50.16116,1777640707.815213,1777640718.132774,10.3176,50.170832,51.56001,1777640718.142448,1777640719.531627,4.6901,1.3892,0,,,,,,
