run_id,phase,participant,session,trial_index,trial_id,stimulus_id,counterbalance_offset,preferred_description_condition,description_condition,metadata_condition,description,image_file,original_filename,original_style_folder,original_relative_path,trial_start_session_s,trial_start_unix_s,description_onset_session_s,description_offset_session_s,description_onset_unix_s,description_offset_unix_s,description_time_s,fixation_onset_session_s,fixation_offset_session_s,fixation_onset_unix_s,fixation_offset_unix_s,fixation_time_s,image_onset_session_s,image_offset_session_s,image_onset_unix_s,image_offset_unix_s,image_view_time_s,screen_width_px,screen_height_px,image_stim_width_units,image_stim_height_units,image_stim_center_x_units,image_stim_center_y_units,rating_onset_session_s,rating_offset_session_s,rating_onset_unix_s,rating_offset_unix_s,rating,rating_rt_s,mismatch_check_triggered,mismatch_response,mismatch_rt_s,mismatch_onset_session_s,mismatch_offset_session_s,mismatch_onset_unix_s,mismatch_offset_unix_s
real_001_s001_2026-05-12_20-00-37-850,practice,001,001,1,P002,P002,,,,,Practice prompt 2: A tense composition with strong directional contrast.,P002.ppm,,,,6.809602,1778608844.661631,6.82063,7.688342,1778608844.672659,1778608845.540367,0.8677,7.690942,8.45496,1778608845.542969,1778608846.306986,0.764,8.455049,15.588267,1778608846.307073,1778608853.44029,7.1332,2940,1912,0.82,0.82,0.0,0.0,15.594631,17.154784,1778608853.446656,1778608855.006808,1.4451,1.5602,0,,,,,,
real_001_s001_2026-05-12_20-00-37-850,practice,001,001,2,P001,P001,,,,,Practice prompt 1: A quiet geometric composition with a calm mood.,P001.ppm,,,,17.159377,1778608855.011402,17.166832,18.35503,1778608855.018857,1778608856.207053,1.1882,18.358063,19.121555,1778608856.210087,1778608856.973577,0.7635,19.121627,21.271484,1778608856.97365,1778608859.123506,2.1499,2940,1912,0.82,0.82,0.0,0.0,21.274007,22.788332,1778608859.12603,1778608860.640357,4.2373,1.5143,0,,,,,,
