run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,gaze_movement_px,gaze_movement_cumulative_px,screen_width_px,screen_height_px,image_stim_width_units,image_stim_height_units,image_stim_center_x_units,image_stim_center_y_units,units
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,1,53.907754,1779135761.788135,0.0,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,2,53.924421,1779135761.804801,0.016667,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,3,53.941087,1779135761.821468,0.033333,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,4,53.957754,1779135761.838135,0.05,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,5,53.974421,1779135761.854801,0.066667,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,6,53.991087,1779135761.871468,0.083333,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,7,54.007754,1779135761.888135,0.1,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,8,54.024421,1779135761.904801,0.116667,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,9,54.041087,1779135761.921468,0.133333,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,10,54.057754,1779135761.938135,0.15,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,11,54.074421,1779135761.954802,0.166667,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,12,54.091087,1779135761.971468,0.183333,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,13,54.107754,1779135761.988135,0.2,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,14,54.124421,1779135762.004802,0.216667,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,15,54.141087,1779135762.021468,0.233333,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-21-47-879,001,001,1,057,057.jpg,16,54.157754,1779135762.038135,0.25,186.0,-58.0,0.0,0.0,2940,1912,0.540912,0.82,0.0,0.0,pix
