run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,screen_width_px,screen_height_px,image_stim_width_units,image_stim_height_units,image_stim_center_x_units,image_stim_center_y_units,units
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,30,14.134839,1778804296.829835,0.483333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,31,14.151505,1778804296.846502,0.5,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,32,14.168172,1778804296.863168,0.516667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,33,14.184839,1778804296.879835,0.533333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,34,14.201505,1778804296.896502,0.55,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,35,14.218172,1778804296.913168,0.566667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,36,14.234839,1778804296.929835,0.583333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,37,14.251505,1778804296.946502,0.6,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,38,14.268172,1778804296.963168,0.616667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,39,14.284839,1778804296.979835,0.633333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,40,14.301505,1778804296.996502,0.65,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,41,14.318172,1778804297.013169,0.666667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,42,14.334839,1778804297.029835,0.683333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,43,14.351505,1778804297.046502,0.7,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,44,14.368172,1778804297.063169,0.716667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,45,14.384839,1778804297.079835,0.733333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,46,14.401505,1778804297.096502,0.75,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,47,14.418172,1778804297.113168,0.766667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,48,14.434839,1778804297.129835,0.783333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,49,14.451505,1778804297.146502,0.8,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,50,14.468172,1778804297.163168,0.816667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,51,14.484839,1778804297.179835,0.833333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,52,14.501505,1778804297.196502,0.85,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,53,14.518172,1778804297.213168,0.866667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,54,14.534839,1778804297.229835,0.883333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,55,14.551505,1778804297.246502,0.9,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,56,14.568172,1778804297.263169,0.916667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,57,14.584839,1778804297.279835,0.933333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,58,14.601505,1778804297.296502,0.95,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,59,14.618172,1778804297.313169,0.966667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,60,14.634839,1778804297.329835,0.983333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,61,14.651505,1778804297.346502,1.0,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,62,14.668172,1778804297.363168,1.016667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,63,14.684839,1778804297.379835,1.033333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,64,14.701505,1778804297.396502,1.05,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,65,14.718172,1778804297.413168,1.066667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,66,14.734839,1778804297.429835,1.083333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,67,14.751505,1778804297.446502,1.1,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,68,14.768172,1778804297.463168,1.116667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,69,14.784839,1778804297.479835,1.133333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,70,14.801505,1778804297.496502,1.15,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,71,14.818172,1778804297.513169,1.166667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,72,14.834839,1778804297.529835,1.183333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,73,14.851505,1778804297.546502,1.2,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,74,14.868172,1778804297.563169,1.216667,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,75,14.884839,1778804297.579835,1.233333,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
real_001_s001_2026-05-15_02-18-02-693,001,001,1,P002,P002.ppm,76,14.901505,1778804297.596502,1.25,-180.0,92.0,2940,1912,0.82,0.82,0.0,0.0,pix
