run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,units
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,40,79.123065,1778422386.143624,0.65,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,41,79.139732,1778422386.160291,0.666667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,42,79.156398,1778422386.176957,0.683333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,43,79.173065,1778422386.193624,0.7,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,44,79.189732,1778422386.210291,0.716667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,45,79.206398,1778422386.226957,0.733333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,46,79.223065,1778422386.243624,0.75,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,47,79.239732,1778422386.260291,0.766667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,48,79.256398,1778422386.276957,0.783333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,49,79.273065,1778422386.293624,0.8,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,50,79.289732,1778422386.310291,0.816667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,51,79.306398,1778422386.326957,0.833333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,52,79.323065,1778422386.343624,0.85,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,53,79.339732,1778422386.360291,0.866667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,54,79.356398,1778422386.376957,0.883333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,55,79.373065,1778422386.393624,0.9,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,56,79.389732,1778422386.410291,0.916667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,57,79.406398,1778422386.426957,0.933333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,58,79.423065,1778422386.443624,0.95,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,59,79.439732,1778422386.460291,0.966667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,60,79.456398,1778422386.476957,0.983333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,61,79.473065,1778422386.493624,1.0,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,62,79.489732,1778422386.510291,1.016667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,63,79.506398,1778422386.526957,1.033333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,64,79.523065,1778422386.543624,1.05,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,65,79.539732,1778422386.560291,1.066667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,66,79.556398,1778422386.576957,1.083333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,67,79.573065,1778422386.593624,1.1,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,68,79.589732,1778422386.610291,1.116667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,69,79.606398,1778422386.626957,1.133333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,70,79.623065,1778422386.643624,1.15,204.0,10.0,pix
