run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,units
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,1,16.750982,1778074256.647514,0.0,36.0,-162.0,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,2,16.767648,1778074256.664181,0.016667,48.0,-162.0,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,3,16.784315,1778074256.680848,0.033333,48.201,-162.0,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,4,16.800982,1778074256.697514,0.05,54.0,-162.0,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,5,16.817648,1778074256.714181,0.066667,54.23,-161.971,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,6,16.834315,1778074256.730848,0.083333,62.0,-161.0,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,7,16.850982,1778074256.747514,0.1,61.761,-160.463,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,8,16.867648,1778074256.764181,0.116667,54.0,-143.0,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,9,16.884315,1778074256.780848,0.133333,52.864,-141.572,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,10,16.900982,1778074256.797514,0.15,19.0,-99.0,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,11,16.917648,1778074256.814181,0.166667,17.83,-97.608,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,12,16.934315,1778074256.830848,0.183333,-18.605,-54.349,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,13,16.950982,1778074256.847514,0.2,-31.827,-40.001,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,14,16.967648,1778074256.864181,0.216667,-56.237,-10.668,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,15,16.984315,1778074256.880848,0.233333,-94.0,30.0,pix
real_002_s001_2026-05-06_15-30-39-896,002,001,1,P002,P002.ppm,16,17.000982,1778074256.897514,0.25,-94.809,30.939,pix
