run_id,phase,participant,session,language,trial_index,trial_id,stimulus_id,counterbalance_offset,preferred_description_condition,description_condition,metadata_condition,description,image_file,original_filename,original_style_folder,original_relative_path,trial_start_session_s,trial_start_unix_s,description_onset_session_s,description_offset_session_s,description_onset_unix_s,description_offset_unix_s,description_time_s,fixation_onset_session_s,fixation_offset_session_s,fixation_onset_unix_s,fixation_offset_unix_s,fixation_time_s,image_onset_session_s,image_offset_session_s,image_onset_unix_s,image_offset_unix_s,image_view_time_s,screen_width_px,screen_height_px,image_stim_width_units,image_stim_height_units,image_stim_center_x_units,image_stim_center_y_units,rating_onset_session_s,rating_offset_session_s,rating_onset_unix_s,rating_offset_unix_s,rating,rating_rt_s,mismatch_check_triggered,mismatch_response,mismatch_rt_s,mismatch_onset_session_s,mismatch_offset_session_s,mismatch_onset_unix_s,mismatch_offset_unix_s
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,1,074,074,0,ambiguous,ambiguous,semi_congruent,Dark and gray brushstrokes run horizontally across a light surface. The composition looks like an open landscape made of lines.,074.jpg,evacuation_of_an_island_0230.jpg,symbolism,symbolism/evacuation_of_an_island_0230.jpg,68.76717,1779135558.184787,68.777878,77.022134,1779135558.195495,1779135566.439747,8.2443,77.052449,78.30535,1779135566.470063,1779135567.722962,1.2529,78.305413,88.471908,1779135567.723025,1779135577.889518,10.1665,2940,1912,1.010267,0.82,0.0,0.0,88.480059,92.288457,1779135577.89767,1779135581.706068,3.6401,3.8084,1,brushstrokes dont ocver the image. its not only lines,14.1334,92.288518,106.421886,1779135581.706128,1779135595.839493
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,2,031,031,0,congruent,congruent,congruent,A small seated figure with a blue cloak sits before a bed. Light body form and dark cloak lie centrally in the image.,031.jpg,maternit_233_after_picasso_0194.jpg,expressionism,expressionism/maternit_233_after_picasso_0194.jpg,106.424716,1779135595.842324,106.433654,121.038271,1779135595.851261,1779135610.455874,14.6046,121.054891,122.305005,1779135610.472494,1779135611.722607,1.2501,122.305069,132.238262,1779135611.722671,1779135621.655862,9.9332,2940,1912,0.562286,0.82,0.0,0.0,132.24707,134.154961,1779135621.664671,1779135623.572562,1.6394,1.9079,0,,,,,,
real_001_s001_2026-05-18_22-18-09-416,main,001,001,en,3,044,044,0,ambiguous,ambiguous,semi_congruent,Three face-like forms stand before a blue background. A light central form is framed by two orange forms.,044.jpg,candidate_030_surrealism_trois_masques_1933.jpg,surrealism,candidate_images/chosen/candidate_030_surrealism_trois_masques_1933.jpg,134.159878,1779135623.57748,134.169385,144.821465,1779135623.586987,1779135634.239062,10.6521,144.831935,146.088195,1779135634.249534,1779135635.505791,1.2563,146.088261,162.938073,1779135635.505857,1779135652.355665,16.8498,2940,1912,1.076018,0.82,0.0,0.0,162.951704,165.838018,1779135652.369297,1779135655.255611,1.8799,2.8863,0,,,,,,
