run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,gaze_movement_px,gaze_movement_cumulative_px,screen_width_px,screen_height_px,image_stim_width_units,image_stim_height_units,image_stim_center_x_units,image_stim_center_y_units,units
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,22,22.805814,1779135512.22344,0.35,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,23,22.822481,1779135512.240107,0.366667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,24,22.839148,1779135512.256773,0.383333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,25,22.855814,1779135512.27344,0.4,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,26,22.872481,1779135512.290107,0.416667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,27,22.889148,1779135512.306773,0.433333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,28,22.905814,1779135512.32344,0.45,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,29,22.922481,1779135512.340107,0.466667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,30,22.939148,1779135512.356773,0.483333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,31,22.955814,1779135512.37344,0.5,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
