run_id,phase,participant,session,trial_index,trial_id,stimulus_id,description_condition,metadata_condition,description,image_file,original_filename,original_style_folder,original_relative_path,trial_start_session_s,trial_start_unix_s,description_onset_session_s,description_offset_session_s,description_onset_unix_s,description_offset_unix_s,description_time_s,image_onset_session_s,image_offset_session_s,image_onset_unix_s,image_offset_unix_s,image_view_time_s,rating_onset_session_s,rating_offset_session_s,rating_onset_unix_s,rating_offset_unix_s,rating,rating_rt_s,mismatch_check_triggered,mismatch_response,mismatch_rt_s,mismatch_onset_session_s,mismatch_offset_session_s,mismatch_onset_unix_s,mismatch_offset_unix_s
real_001_s001_2026-05-06_15-19-39-814,practice,001,001,1,P001,P001,,,Practice prompt 1: A quiet geometric composition with a calm mood.,P001.ppm,,,,4.369185,1778073584.184011,4.384688,4.837619,1778073584.199515,1778073584.652442,0.4529,4.837751,16.370866,1778073584.652574,1778073596.185696,11.5331,16.381749,18.220614,1778073596.196582,1778073598.035446,1.8184,1.8389,0,,,,,,
real_001_s001_2026-05-06_15-19-39-814,practice,001,001,2,P002,P002,,,Practice prompt 2: A tense composition with strong directional contrast.,P002.ppm,,,,18.225125,1778073598.039961,18.235925,18.854018,1778073598.05076,1778073598.66885,0.6181,18.854159,29.33897,1778073598.668991,1778073609.153808,10.4848,29.348969,30.620693,1778073609.16381,1778073610.435533,3.5283,1.2717,0,,,,,,
